question,file,number
"Write a SQL query that returns employees whose salary is above the average salary of employees hired before January 1, 2020 using a non-correlated subquery.","non_correlated.sql","exercise 7"
"Write a SQL query that shows each employee along with the overall average company salary using a non-correlated subquery in the SELECT clause.","non_correlated.sql","exercise 8"
"Write a SQL query that returns all employees if there exists at least one employee with a salary below 50,000 using a non-correlated subquery with EXISTS.","non_correlated.sql","exercise 9"
"Write a SQL query that returns employees whose salary is higher than the company average and lower than the company maximum using multiple non-correlated subqueries.","non_correlated.sql","exercise 10"
"Write a SQL query that returns employees who belong to a department that has at least one other employee using EXISTS.","exists-not-exists.sql","exercise 1"
"Write a SQL query that returns employees who are the only employee in their department using NOT EXISTS.","exists-not-exists.sql","exercise 2"
"Write a SQL query that returns employees who earn more than at least one coworker in the same department using EXISTS with a condition.","exists-not-exists.sql","exercise 3"
"Write a SQL query that returns employees who earn the lowest salary in their department using NOT EXISTS with a condition.","exists-not-exists.sql","exercise 4"
"Write a SQL query that returns departments that have at least one employee using EXISTS with another table.","exists-not-exists.sql","exercise 5"
"Write a SQL query that returns departments with no employees using NOT EXISTS with another table.","exists-not-exists.sql","exercise 6"
"Write a SQL query that returns employees who were hired after at least one other employee in the company using EXISTS with a date condition.","exists-not-exists.sql","exercise 7"
"Write a SQL query that returns the earliest-hired employee or employees using NOT EXISTS with a date condition.","exists-not-exists.sql","exercise 8"
"Write a SQL query that returns employees who belong to a department that has at least one manager using EXISTS.","exists-not-exists.sql","exercise 9"
"Write a SQL query that returns employees who are not managers using NOT EXISTS (anti-join pattern).","exists-not-exists.sql","exercise 10"
"Write a SQL query that assigns a sequential row number to each employee ordered by employee_id.","row-number.sql","exercise 1"
"Write a SQL query that ranks employees by salary from highest to lowest using the ROW_NUMBER() window function.","row-number.sql","exercise 2"
"Write a SQL query that assigns row numbers to employees within each department, resetting the count for every department.","row-number.sql","exercise 3"
"Write a SQL query that returns the first hired employee in each department using ROW_NUMBER() and a subquery.","row-number.sql","exercise 4"
"Write a SQL query that removes duplicate email addresses by keeping only one row per email using ROW_NUMBER().","row-number.sql","exercise 5"
"Write a SQL query that numbers employees within each department based on salary in descending order, including department names.","row-number.sql","exercise 6"
"Write a SQL query that implements pagination by returning employees ranked 11 through 20 when ordered by employee_id.","row-number.sql","exercise 7"
"Write a SQL query that ranks employees by salary in descending order using the RANK() window function.","ranking-functions.sql","exercise 1"
"Write a SQL query that ranks employees by salary using DENSE_RANK() so that no gaps appear after tied salaries.","ranking-functions.sql","exercise 2"
"Write a SQL query that ranks employees by salary within each department using RANK() and PARTITION BY.","ranking-functions.sql","exercise 3"
"Write a SQL query that assigns a dense rank to employee salaries within each department using DENSE_RANK() and PARTITION BY.","ranking-functions.sql","exercise 4"
"Write a SQL query that divides employees into four salary groups (quartiles) using the NTILE() function.","ranking-functions.sql","exercise 5"
"Write a SQL query that ranks employees by salary within each department name by joining the employees and departments tables.","ranking-functions.sql","exercise 6"
"Write a SQL query that returns the top three highest-paid employees in each department using RANK() and a subquery.","ranking-functions.sql","exercise 7"
"Write a SQL query that compares RANK() and DENSE_RANK() by displaying both rankings for employee salaries.","ranking-functions.sql","exercise 8"

